id,class,literaryGenre,genre,label,subject,author,publisher
0,5ed6eae2-7143-491d-95be-c029fffbe0a2,Romanzo,Romanzo,Washington Square (novel),19th-century American novels Harper & Brothers books Novels by Henry James Novels first published in serial form Novels set in New York City Works originally published in Cornhill Magazine,,
1,8130387b-6325-45c3-87fa-ffa67695937a,,,The American Scene,1907 books American travel books Books by Henry James,Henry James,
2,404da756-12e9-4ecd-b06f-77d55dcfef48,,Mystery fiction,Have His Carcase,1932 novels Locked room mysteries,Dorothy L. Sayers,Victor Gollancz
3,0ee22632-d78c-4ce0-b89f-34dd851c957e,,,The Innocents (novel),1917 novels 20th-century American novels Harper & Brothers books Novels by Sinclair Lewis,,
4,2a905c6d-5daa-42bb-8d89-c8c1f1b106ad,,Fantascienza,Destroyer of Worlds (novel),21st-century American novels American science fiction novels Known Space stories Literary collaborations Novels by Larry Niven,Larry Niven,Tor Books
5,a12f0611-2e7d-4f3e-99d1-d511f451db54,,Romanzo storico,La compagnia bianca,1891 novels British historical novels Hundred Years' War literature Novels by Arthur Conan Doyle Works originally published in Cornhill Magazine,Arthur Conan Doyle,Smith  Elder & Co.
6,cbcba37a-5d15-45bb-9390-9450ff1c7465,Romanzo,,Miss Wyoming (novel),2000 novels Novels by Douglas Coupland Novels set in Wyoming,,Random House
7,f37fe683-a7c8-4bee-9bfe-1e27578aa938,Romanzo di avventura,Romanzo di avventura,Tarzan delle Scimmie,1910s fantasy novels 1914 novels Novels about orphans,Edgar Rice Burroughs,
8,e3e4bc51-4168-47c1-9cf7-d2c00c5bd60c,Romanzo,,Glide Path,Aviation novels British novels Novels by Arthur C. Clarke,Arthur C. Clarke,Harcourt (publisher)
9,a205fc57-ff81-4d4b-9d84-5da8932d21b9,Letteratura dell'orrore,Letteratura dell'orrore Romanzo gotico,Unico indizio la luna piena,1983 novels American horror novels American novels adapted into films Werewolves in written fiction,Stephen King,
10,46760c0e-7548-47b5-b612-758966120762,,Fiction,The Mucker (novel),1921 novels Novels by Edgar Rice Burroughs Novels first published in serial form Works originally published in Argosy (magazine),Edgar Rice Burroughs,A. C. McClurg
11,d6196761-cf8f-4859-ac66-a47cd1f0df83,Letteratura per ragazzi,Letteratura per ragazzi,Doctor Dolittle's Zoo,1920s fantasy novels 1925 novels Doctor Dolittle books,,Frederick A. Stokes
12,9ac94a30-0964-42d4-a8b5-7e6ae86b413e,Saggio,,An Englishman Looks at the World,1914 books Books about England Books by H. G. Wells,,Cassell (publisher)
13,a2eed397-f19a-47f8-ac7a-80fa28fba5b9,,,Bombs Away,Books by John Steinbeck World War II books,John Steinbeck,Viking Press
14,2936b853-f538-49a7-bb9b-880bf5238ad4,Fantascienza,Fantascienza,Betrayer of Worlds,2010s science fiction novels American science fiction novels Literary collaborations,Edward M. Lerner,Tor Books
15,edd3b1e2-f8a7-44bf-bc2c-71d3a7b5efd2,,Non-fiction,Tramp Royale,1992 books American travel books Books by Robert A. Heinlein,Robert Anson Heinlein,
16,a38d554b-d4ea-413e-98d4-ce38c60911c6,Ucronia,Fantascienza Ucronia,Navigator (Stephen Baxter),2000s science fiction novels 2007 novels Alternate history novels Novels by Stephen Baxter,,
17,78b254ec-ebc3-40b8-ac2a-a8360d88d661,Romanzo di avventura,,Tarzan,1995 novels Novels by Joe R. Lansdale Novels first published in serial form Tarzan novels by Edgar Rice Burroughs,Edgar Rice Burroughs,
18,a3fe8b4d-f330-4b9a-a9f1-d0a0ba1a7657,,Fantascienza Ucronia,22/11/'63,2011 novels American political novels American science fiction novels Novels about the John F. Kennedy assassination Novels by Stephen King Novels set in the 2010s,Stephen King,Charles Scribner's Sons
19,3146f67f-3c43-489e-8a90-877292fc9543,Romanzo,Romanzo,The Great American Novel (Roth),1943 in fiction 1973 novels,Philip Roth,Holt McDougal
20,7be765d2-af99-41bf-ac2b-18c9dbe34c51,Romanzo epistolare,Letteratura dell'orrore,Carrie (romanzo),1979 in fiction American novels adapted into films Debut novels Epistolary novels,Stephen King,Doubleday
21,e1a02c66-3e9a-4381-bc30-a6d3d1c22989,Fantasy literature Mitologia greca Young-adult fiction,Mitologia greca Young-adult fiction,Percy Jackson e gli dei dell'Olimpo,2009 novels American young adult novels Children's fantasy novels Greco-Roman mythology in popular culture Percy Jackson & the Olympians Young adult fantasy novels,,
22,6791b0c7-2b1b-48f6-8e53-9ab5521b6562,Letteratura gialla Racconto,Letteratura gialla Racconto,Crime Wave (book),Short story collections by James Ellroy,James Ellroy,
23,b25ff1c4-779d-4e7c-a1df-4b101e101bf6,Romanzo rosa,Regency era Romanzo rosa,The Toll-Gate,1954 novels Historical novels Novels set in Derbyshire,Georgette Heyer,Heinemann (publisher)
24,3d81ece3-89a3-4399-9bdf-e6393ff4cf14,Letteratura per ragazzi,Letteratura per ragazzi,Doctor Dolittle's Post Office,1923 novels Doctor Dolittle books,,Frederick A. Stokes
25,33d52cb4-c6f0-4a44-9f1a-f9d024e93c9d,Fantascienza,Fantascienza,Waldo & Magic  Inc.,1950 short story collections,,Doubleday
26,3da87541-4ec8-45a8-93a9-87dcd888516b,Historical fiction,,A Drama in Mexico,1851 short stories 1876 short stories Mexico in fiction Short stories by Jules Verne Works originally published in MusÍ©e des familles,,
27,1c66032c-fc47-458c-89b5-c81aab94a5dd,,Romanzo di avventura,Il faro in capo al mondo (romanzo),1905 novels Adventure novels Lighthouses in Argentina Novels by Jules Verne Novels published posthumously South America in fiction Tierra del Fuego Province  Argentina,Jules Verne Michel Verne,
28,a5afe7c6-558e-48e8-a088-53bfeffe8fd1,Romanzo di avventura,Romanzo di avventura,Tarzan at the Earth's Core,1930 novels 1930s fantasy novels American fantasy novels Crossover novels Pellucidar novels by Edgar Rice Burroughs,,
29,29256f9e-2055-495a-9332-b06fb1a4e3ce,,Romanzo,The Soul of a Bishop,1917 novels Novels by H. G. Wells,H. G. Wells,Macmillan Publishers
30,a5b12122-5898-4b04-964d-06b0c29c4668,,Fantascienza,Il salmone del dubbio,2002 books Books published posthumously Unfinished books,Douglas Adams,Heinemann (publisher) Pocket Books
31,a5d7da23-ef53-44e5-8205-145d960d26ec,,,Le avventure di Tom Bombadil,English poetry collections Middle-earth poetry Poetry by J. R. R. Tolkien,John Ronald Reuel Tolkien,
