id,class,literaryGenre,genre,label,subject,author,publisher
1330,a00b7bc3-e87d-4c9a-92e9-b36f86accf9e,,,category1844  goblins  novella,,Charles Dickens,Chapman & Hall
1331,a02f21e8-6f19-4b5a-9577-db21bd46920b,Mystery fiction,Mystery fiction,mysteries  disappearing  mystery fiction  published boys life  originally published boys,Mystery short story collections by Isaac Asimov 1985 short story collections,Isaac Asimov,
1332,a07c99b9-14d7-43b9-89cb-4d8aa1fcef8a,,Novel,j m coetzee  m coetzee  j m  k.  ravan press,Novels set in South Africa 1983 novels,,Ravan Press
1333,a0883790-a293-4ec0-93b8-68bab9fc55f5,Science fiction,,robert heinlein  categoryspace westerns  enough  categorybisexuality related fiction  categorybisexuality related,LGBT speculative fiction novels Novels by Robert A. Heinlein Prometheus Award winning works 1973 novels,,G P Putnam's Sons
1334,a09872cf-a894-4c2a-a483-1883b7d62eb7,Science fiction,,c clarke  arthur c clarke  arthur c  category1991 short  one,Short story collections by Arthur C. Clarke,Arthur C Clarke,Bantam Books
1335,a153d288-fdca-401c-a728-5df8b3432c0e,Horror fiction,Horror fiction,categoryzombie  cell  categoryboston massachusetts  set boston  massachusetts fiction,Novels by Stephen King 21st-century American novels Boston  Massachusetts in fiction Novels set in Boston  Massachusetts,,Charles Scribner's Sons
1336,a1583b4c-7584-43a2-ba32-58a200a641cb,Fantasy,Essay Fantasy Play (theatre) Poetry,tolkien  play theatre  poetry  j r  r tolkien,Collections of works by J. R. R. Tolkien Fantasy anthologies,J R R Tolkien,Ballantine Books
1337,a183e0ec-be20-42b4-a3b6-d55c03c67c3d,Sports fiction,Sports fiction,sports fiction  thriller genre  blockade  billy  cemetery dance,Baseball novels 2010 books,,
1338,a1d0e63d-12f0-4f08-9258-ff059804a231,Romance novel Science fiction,Romance novel Science fiction,romance novel  food  g wells  h g  h g wells,British science fiction novels Size change in fiction,H G Wells,Macmillan Publishers
1339,a1d207be-fabb-443e-91d1-8a60ad1b772a,Science fiction,Science fiction,sibyl  collection  philip k,,,
1340,a1e954da-5d60-48a9-98f4-99131891a577,,Science fiction,currents  isaac asimov  category1952 novels  categoryfoundation universe books  categoryfoundation universe,,Isaac Asimov,
1341,a1eeea62-9b59-4d14-b21d-62b7671653e3,,,john steinbeck  wayward  bus  category1947 novels  categorynovels john steinbeck,American novels adapted into films Novels by John Steinbeck Novels set in California,,
1342,a203bb85-41c2-4840-8ff9-bed992528d18,,,category1998 novels  stephen baxter novel  stephen baxter,HarperCollins books 1990s science fiction novels,,
1343,a29cfc94-595b-4681-bd8b-ceceabff9cdd,,,jpod  douglas coupland  epistolary novel,Metafictional works 2006 novels,Douglas Coupland,
1344,a2d44d8f-745a-4490-bedf-ea863a4b99f7,Adventure fiction Science fiction,Science fiction,categoryfrench  categorynovels set  fantasy novels  japan  twenty,Atlantis in fiction French fantasy novels French novels adapted into films Novels by Jules Verne Novels set in India Novels set in New York City Novels set in Spain Pirate books 1860s in fiction 1870s fantasy novels 1870s science fiction novels,Jules Verne,
1345,a2d56d27-331c-47dc-80b4-a804ca7b1043,,Mystery fiction,dorothy l  dorothy l sayers  l sayers  galloway  herrings,Fictional artists Masterpiece Theatre Novels set in Dumfries and Galloway Victor Gollancz books,,Harper (publisher)
1346,a31167bd-a79f-424f-9e28-a408af655ec6,,,banquets  mystery fiction  category1984 short  category1984 short story  isaac asimov,,Isaac Asimov,Ballantine Books Doubleday (publisher)
1347,a3311f8d-2d07-4b03-8500-ca1165e19afe,Crime fiction,Crime fiction,crime club  mesopotamia  set iraq  categorynovels set iraq  crime fiction,Novels set in Iraq,,Collins Crime Club
1348,a3446af6-a43e-4713-b181-87e5a55f5e37,,,foundling  ireland  jules verne,Novels about orphans,Jules Verne,
1349,a35d0284-1d45-41e4-b614-a1716fdb6bef,Fantasy Science fiction,,thomas nelson  thomas nelson publisher  nelson publisher  stories  g wells,,,
1350,a38894f3-a9a2-4bbb-8cb6-26099ffdfc26,,War novel,war novel  frederick forsyth  categorywar  dogs  category1974 novels,Hutchinson books Novels by Frederick Forsyth Novels set in Africa 1974 novels,,Viking Press
1351,a3e920bb-042d-493f-a944-67dc5f83afdd,,Adventure fiction,tanar  pellucidar  edgar rice  edgar rice burroughs  rice burroughs,Pellucidar novels by Edgar Rice Burroughs 1929 novels,,Henry Holt and Company
1352,a3ebf7b9-0f95-4821-b3b5-f6cf388344bc,,Gothic fiction Mystery fiction,absurdist fiction  steampunk  gothic fiction  grim  grotto,Books in A Series of Unfortunate Events HarperCollins books,Lemony Snicket,
1353,a4193b74-5a25-4ce4-abed-c43b0f543b39,,,philip roth  humbling  categorynovels actors  category2009 novels  categorynovels philip roth,Novels about actors,,Houghton Mifflin Harcourt
1354,a43bab90-1912-4203-accf-d76169d1f9ba,Science fiction,,credit  category2080s  us  customs  robert heinlein,Libertarian science fiction Philosophical novels Social Credit Utopian novels World War II alternate histories 2003 novels 21st-century American novels,,Charles Scribner's Sons
1355,a49a1d04-3977-4b1c-a892-14be59848148,,Crime fiction,crime club  dumb  berkshire  witness  category1937 novels,Collins Crime Club books Novels first published in serial form Novels set in Berkshire Works originally published in The Saturday Evening Post,,Collins Crime Club
